2.500000000000000000e+02,-1.800000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.000000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.795000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.050000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.790000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.100000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.785000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.150000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.780000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.200000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.775000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-2.250000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.400000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.000000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.395000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.050000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.390000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.100000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.385000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.150000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.380000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.200000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.375000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-6.250000000000000000e+01,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-1.000000000000000000e+02,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.000000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-9.950000000000000000e+01,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.005000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-9.900000000000000000e+01,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.010000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-9.850000000000000000e+01,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.015000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-9.800000000000000000e+01,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.020000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
2.500000000000000000e+02,-9.750000000000000000e+01,8.400000000000000000e+01,-8.900000000000000000e+01,2.500000000000000000e+02,-1.025000000000000000e+02,9.000000000000000000e+01,-3.500000000000000000e+01
